,seriesuid,coordX,coordY,coordZ
417828,1.3.6.1.4.1.14519.5.2.1.6279.6001.338447145504282422142824032832,-44.09,13.4,-160.86
83730,1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,-53.9580037977,84.3549062612,-128.761895518
355132,1.3.6.1.4.1.14519.5.2.1.6279.6001.300693623747082239407271583452,-96.4168463645,34.272115170700005,-263.346154059
116139,1.3.6.1.4.1.14519.5.2.1.6279.6001.163994693532965040247348251579,-121.09,-25.39,-231.8
541582,1.3.6.1.4.1.14519.5.2.1.6279.6001.955688628308192728558382581802,55.070033118400005,203.764333128,-604.59777799
254659,1.3.6.1.4.1.14519.5.2.1.6279.6001.238855414831158993232534884296,-2.90963566743,15.9233660862,-160.353266773
345655,1.3.6.1.4.1.14519.5.2.1.6279.6001.297251044869095073091780740645,72.73,-46.01,-104.44
275511,1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,37.633417911100004,33.9608106608,-108.58164674700001
269182,1.3.6.1.4.1.14519.5.2.1.6279.6001.247060297988514823071467295949,-72.83,69.43,-88.07
486216,1.3.6.1.4.1.14519.5.2.1.6279.6001.671278273674156798801285503514,80.5,-132.37,-203.69
448153,1.3.6.1.4.1.14519.5.2.1.6279.6001.461155505515403114280165935891,44.163092569700005,79.6165461746,-210.173969288
205365,1.3.6.1.4.1.14519.5.2.1.6279.6001.211956804948320236390242845468,84.47,195.15,-724.23
547507,1.3.6.1.4.1.14519.5.2.1.6279.6001.975426625618184773401026809852,-63.72,58.83,-182.67
149236,1.3.6.1.4.1.14519.5.2.1.6279.6001.179730018513720561213088132029,-97.5296001975,89.4292998308,-246.58940021200002
30517,1.3.6.1.4.1.14519.5.2.1.6279.6001.117040183261056772902616195387,-116.347266678,228.041741272,-565.605809134
1034,1.3.6.1.4.1.14519.5.2.1.6279.6001.100332161840553388986847034053,42.05854051,37.25754992,-127.54699609999999
30085,1.3.6.1.4.1.14519.5.2.1.6279.6001.117040183261056772902616195387,110.25,123.8,-609.19
168357,1.3.6.1.4.1.14519.5.2.1.6279.6001.191301539558980174217770205256,-40.82,64.44,-297.46
128479,1.3.6.1.4.1.14519.5.2.1.6279.6001.171919524048654494439256263785,-114.290611337,52.4565331342,-242.556852074
518841,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,69.47,62.73,-241.21
21285,1.3.6.1.4.1.14519.5.2.1.6279.6001.112740418331256326754121315800,-113.530751208,35.949885956399996,-191.70138362
59241,1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,60.37,-8.84,-172.28
336434,1.3.6.1.4.1.14519.5.2.1.6279.6001.291156498203266896953765649282,68.65,-78.78,-141.95
517334,1.3.6.1.4.1.14519.5.2.1.6279.6001.822128649427327893802314908658,-27.13,83.11,-185.21
452630,1.3.6.1.4.1.14519.5.2.1.6279.6001.466284753932369813717081722101,-19.72,-130.68,-101.54
242230,1.3.6.1.4.1.14519.5.2.1.6279.6001.230491296081537726468075344411,96.1,29.15,-108.18
369296,1.3.6.1.4.1.14519.5.2.1.6279.6001.308655308958459380153492314021,-53.96748947,-134.7543101,-206.21338490000002
70214,1.3.6.1.4.1.14519.5.2.1.6279.6001.138904664700896606480369521124,-108.997583545,-206.46087521099997,-237.907291875
255536,1.3.6.1.4.1.14519.5.2.1.6279.6001.239358021703233250639913775427,-49.75744784649999,83.5393040743,-182.120545789
350845,1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071,110.56,3.39,-224.48
550677,1.3.6.1.4.1.14519.5.2.1.6279.6001.997611074084993415992563148335,11.94072868,17.91228344,-40.01772976
265678,1.3.6.1.4.1.14519.5.2.1.6279.6001.245391706475696258069508046497,77.2647962245,21.1595327406,-209.251793592
37569,1.3.6.1.4.1.14519.5.2.1.6279.6001.121824995088859376862458155637,40.57,-215.84,-123.63
408676,1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,83.261470864,-10.487699718,-272.186599217
342321,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,51.07079685,45.13994989,-186.65538
436383,1.3.6.1.4.1.14519.5.2.1.6279.6001.413896555982844732694353377538,-64.19,18.9,-164.26
205637,1.3.6.1.4.1.14519.5.2.1.6279.6001.211956804948320236390242845468,46.1665905401,170.74564813,-528.4354334669999
108217,1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450,95.7714038906,-10.8765413021,-202.82424674900003
521278,1.3.6.1.4.1.14519.5.2.1.6279.6001.842980983137518332429408284002,93.9214358465,200.51948794900002,-736.077369882
282621,1.3.6.1.4.1.14519.5.2.1.6279.6001.254929810944557499537650429296,107.282815166,55.3365420616,-196.548554502
435551,1.3.6.1.4.1.14519.5.2.1.6279.6001.404457313935200882843898832756,90.1681374174,-126.85082199700001,-122.44821803299999
186378,1.3.6.1.4.1.14519.5.2.1.6279.6001.200837896655745926888305239398,-20.2942958743,75.5874287626,-222.60644950000002
302563,1.3.6.1.4.1.14519.5.2.1.6279.6001.268838889380981659524993261082,86.46101790659999,45.979805298,-97.8460632102
371191,1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,53.67,-119.64,-199.8
24159,1.3.6.1.4.1.14519.5.2.1.6279.6001.113697708991260454310623082679,-48.76,-25.58,-132.04
532504,1.3.6.1.4.1.14519.5.2.1.6279.6001.910435939545691201820711078950,16.3742147445,-29.791809381100002,-142.756676798
89264,1.3.6.1.4.1.14519.5.2.1.6279.6001.147250707071097813243473865421,79.76,93.14,-85.33
49122,1.3.6.1.4.1.14519.5.2.1.6279.6001.126631670596873065041988320084,-68.6451973931,2.52112034917,-113.89699425399999
335001,1.3.6.1.4.1.14519.5.2.1.6279.6001.290135156874098366424871975734,-58.9822830798,92.211052775,-217.824186038
416142,1.3.6.1.4.1.14519.5.2.1.6279.6001.337845202462615014431060697507,110.66,-4.48,-114.45
15647,1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,-100.46,68.01,-230.55
164057,1.3.6.1.4.1.14519.5.2.1.6279.6001.188385286346390202873004762827,-62.9075980392,-58.8174019608,-71.6691176471
520213,1.3.6.1.4.1.14519.5.2.1.6279.6001.842317928015463083368074520378,-99.35,-87.1,-212.29
432895,1.3.6.1.4.1.14519.5.2.1.6279.6001.398955972049286139436103068984,65.47961996779999,55.0426640043,-85.9770644215
244467,1.3.6.1.4.1.14519.5.2.1.6279.6001.232011770495640253949434620907,-56.1053215065,49.234555923100004,-110.355428123
82928,1.3.6.1.4.1.14519.5.2.1.6279.6001.143813757344903170810482790787,80.47,67.74,-243.31
540732,1.3.6.1.4.1.14519.5.2.1.6279.6001.948414623428298219623354433437,-16.03,-65.2,-125.06
450426,1.3.6.1.4.1.14519.5.2.1.6279.6001.463214953282361219537913355115,90.06705995,73.18496811,-236.13184775
3406,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405,85.12,152.33,-425.7
518952,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,82.1,78.86,-213.74
316171,1.3.6.1.4.1.14519.5.2.1.6279.6001.275766318636944297772360944907,-47.1,41.66,-184.62
474172,1.3.6.1.4.1.14519.5.2.1.6279.6001.614147706162329660656328811671,54.582398375,-24.173216465,-135.710395
269356,1.3.6.1.4.1.14519.5.2.1.6279.6001.247769845138587733933485039556,-112.83,-65.94,-141.0
503546,1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,-103.05,75.23,-188.81
353495,1.3.6.1.4.1.14519.5.2.1.6279.6001.300270516469599170290456821227,-67.54,-127.41,-128.19
349302,1.3.6.1.4.1.14519.5.2.1.6279.6001.299767339686526858593516834230,-94.40364348450001,32.8723027105,-56.992836469
84853,1.3.6.1.4.1.14519.5.2.1.6279.6001.144943344795414353192059796098,70.74,64.86,-177.86
472663,1.3.6.1.4.1.14519.5.2.1.6279.6001.603126300703296693942875967838,-78.18,51.49,-158.05
45396,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464,-55.19,-72.82,-264.29
375151,1.3.6.1.4.1.14519.5.2.1.6279.6001.311476128731958142981941696518,-89.13201967,231.21132665,-614.5556829
89942,1.3.6.1.4.1.14519.5.2.1.6279.6001.147325126373007278009743173696,-64.69,7.71,-199.03
349325,1.3.6.1.4.1.14519.5.2.1.6279.6001.299767339686526858593516834230,-71.8,-62.7,-138.78
479694,1.3.6.1.4.1.14519.5.2.1.6279.6001.631047517458234322522264161877,-82.53,97.15,-189.05
468466,1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,30.451135229400002,56.729921292200004,-179.13069641799999
328220,1.3.6.1.4.1.14519.5.2.1.6279.6001.283569726884265181140892667131,56.05,87.36,-198.73
55526,1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528,-53.691488649200004,44.1971246421,-186.381491928
179493,1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,67.14657165050001,69.51468904149999,-217.55690488099998
454735,1.3.6.1.4.1.14519.5.2.1.6279.6001.479402560265137632920333093071,-152.12,-22.01,-275.4
276087,1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,56.43677773,35.2925143,-212.464187
384356,1.3.6.1.4.1.14519.5.2.1.6279.6001.315770913282450940389971401304,-77.96,26.13,-169.15
471317,1.3.6.1.4.1.14519.5.2.1.6279.6001.592821488053137951302246128864,-88.3928462084,-81.3768373715,-231.31128343700001
224367,1.3.6.1.4.1.14519.5.2.1.6279.6001.220596530836092324070084384692,37.51032651,193.3753491,-494.6633811000001
502511,1.3.6.1.4.1.14519.5.2.1.6279.6001.750792629100457382099842515038,79.48,92.73,-821.19
84996,1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,2.4,8.65,-72.71
281768,1.3.6.1.4.1.14519.5.2.1.6279.6001.254254303842550572473665729969,-54.8,-62.61,1507.61
179561,1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,60.398252479499995,-34.833463566199995,-134.561555003
408353,1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,45.5507956179,45.6202872845,-106.82239603200001
469268,1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,-91.3174850708,64.6073937446,-227.07575778700001
227347,1.3.6.1.4.1.14519.5.2.1.6279.6001.223098610241551815995595311693,-148.28,-169.31,-270.39
377747,1.3.6.1.4.1.14519.5.2.1.6279.6001.313283554967554803238484128406,77.8465354218,75.13195572800001,-265.954745924
497927,1.3.6.1.4.1.14519.5.2.1.6279.6001.741709061958490690246385302477,-88.64376098049999,40.0705368441,-244.408608813
266186,1.3.6.1.4.1.14519.5.2.1.6279.6001.245546033414728092794968890929,-64.7271002024,56.554099785,-92.11680022620001
251260,1.3.6.1.4.1.14519.5.2.1.6279.6001.237428977311365557972720635401,85.97,66.03,-150.29
307369,1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290,57.67861181,-2.248586683,-153.2306626
427897,1.3.6.1.4.1.14519.5.2.1.6279.6001.385151742584074711135621089321,40.3074009014,6.369178195040001,-152.971824046
536246,1.3.6.1.4.1.14519.5.2.1.6279.6001.931383239747372227838946053237,34.7395914441,76.9303300311,-91.3746085439
388728,1.3.6.1.4.1.14519.5.2.1.6279.6001.319066480138812986026181758474,-55.357080916099996,21.5003183229,-181.720906635
395930,1.3.6.1.4.1.14519.5.2.1.6279.6001.324290109423920971676288828329,68.22104559999998,-144.2676865,-147.8263178
200661,1.3.6.1.4.1.14519.5.2.1.6279.6001.208511362832825683639135205368,133.433721284,-48.8740579193,-209.987708665
168144,1.3.6.1.4.1.14519.5.2.1.6279.6001.191301539558980174217770205256,79.59186443189999,46.2815108972,-221.43050526
287184,1.3.6.1.4.1.14519.5.2.1.6279.6001.257515388956260258681136624817,-56.480091433000005,-100.28587691700001,-309.173333457
487131,1.3.6.1.4.1.14519.5.2.1.6279.6001.674809958213117379592437424616,48.86,40.96,-119.4
17529,1.3.6.1.4.1.14519.5.2.1.6279.6001.109882169963817627559804568094,-68.7,-78.79,-215.39
204855,1.3.6.1.4.1.14519.5.2.1.6279.6001.211956804948320236390242845468,59.96,117.43,-661.81
209807,1.3.6.1.4.1.14519.5.2.1.6279.6001.214800939017429618305208626314,-70.2138304053,-84.45237754989999,-207.39009456
365133,1.3.6.1.4.1.14519.5.2.1.6279.6001.306788423710427765311352901943,82.06,-125.86,-156.24
406892,1.3.6.1.4.1.14519.5.2.1.6279.6001.332453873575389860371315979768,-88.6,-103.97,-372.29
200590,1.3.6.1.4.1.14519.5.2.1.6279.6001.208511362832825683639135205368,-72.2111147011,35.1483675952,-35.2941162124
415826,1.3.6.1.4.1.14519.5.2.1.6279.6001.337845202462615014431060697507,40.23409845,11.41247235,-164.04739840000002
397638,1.3.6.1.4.1.14519.5.2.1.6279.6001.325164338773720548739146851679,-46.65,78.93,-145.49
51456,1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224,104.169899785,-12.890166871,-240.89583354
26242,1.3.6.1.4.1.14519.5.2.1.6279.6001.114249388265341701207347458535,68.79,97.43,-163.05
491731,1.3.6.1.4.1.14519.5.2.1.6279.6001.707218743153927597786179232739,78.01,-54.86,-186.04
59825,1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957,-1.96141326872,-11.574456757,-172.191304564
231823,1.3.6.1.4.1.14519.5.2.1.6279.6001.226456162308124493341905600418,-75.7,85.84,-127.69
418271,1.3.6.1.4.1.14519.5.2.1.6279.6001.338875090785618956575597613546,-116.938637163,45.9049059756,-257.038464599
38229,1.3.6.1.4.1.14519.5.2.1.6279.6001.121993590721161347818774929286,68.3554619679,15.8985206321,-185.468710295
509379,1.3.6.1.4.1.14519.5.2.1.6279.6001.776800177074349870648765614630,30.8526350863,31.4078418262,-250.04234316
264565,1.3.6.1.4.1.14519.5.2.1.6279.6001.244681063194071446501270815660,-55.5606191566,-122.89347073,-105.86171361
295130,1.3.6.1.4.1.14519.5.2.1.6279.6001.262873069163227096134627700599,37.253113425,76.273877315,-212.7245287
10635,1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,2.03782681142,34.2688268331,-170.978346311
286614,1.3.6.1.4.1.14519.5.2.1.6279.6001.257383535269991165447822992959,-11.4151530596,69.6314116603,-177.888088369
180462,1.3.6.1.4.1.14519.5.2.1.6279.6001.199171741859530285887752432478,-100.94,94.14,-573.7
375615,1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,57.0742436125,30.1816256275,-98.44494403569999
399067,1.3.6.1.4.1.14519.5.2.1.6279.6001.325580698241281352835338693869,113.63114873100001,48.8178189351,-122.018900933
239023,1.3.6.1.4.1.14519.5.2.1.6279.6001.229860476925100292554329427970,25.2860247881,41.9948997878,-111.80250022
447002,1.3.6.1.4.1.14519.5.2.1.6279.6001.454273545863197752384437758130,68.81,-29.47,-123.9
183265,1.3.6.1.4.1.14519.5.2.1.6279.6001.199975006921901879512837687266,55.739742643,-50.220971643,-123.386428777
350882,1.3.6.1.4.1.14519.5.2.1.6279.6001.300136985030081433029390459071,25.2865240442,32.9505512678,-102.896745779
442282,1.3.6.1.4.1.14519.5.2.1.6279.6001.439153572396640163898529626096,-33.94,-130.94,-205.69
220411,1.3.6.1.4.1.14519.5.2.1.6279.6001.219281726101239572270900838145,-44.51829251149999,64.530476709,-82.320192507
106500,1.3.6.1.4.1.14519.5.2.1.6279.6001.159996104466052855396410079250,52.429537115,31.46522406,-117.30390595
88105,1.3.6.1.4.1.14519.5.2.1.6279.6001.146603910507557786636779705509,84.7313362014,-31.5378275475,-144.75054573399999
471185,1.3.6.1.4.1.14519.5.2.1.6279.6001.592821488053137951302246128864,111.59411270000001,-132.77451915,-178.014486
392427,1.3.6.1.4.1.14519.5.2.1.6279.6001.323408652979949774528873200770,70.44,10.82,-100.0
333618,1.3.6.1.4.1.14519.5.2.1.6279.6001.287966244644280690737019247886,113.84,-11.56,-164.49
213161,1.3.6.1.4.1.14519.5.2.1.6279.6001.216526102138308489357443843021,56.51,-37.18,-117.46
314621,1.3.6.1.4.1.14519.5.2.1.6279.6001.274052674198758621258447180130,-89.7886963386,230.438686728,-568.246593225
350104,1.3.6.1.4.1.14519.5.2.1.6279.6001.299806338046301317870803017534,-100.11,-13.53,-203.44
230340,1.3.6.1.4.1.14519.5.2.1.6279.6001.225227615446398900698431118292,30.79649827,7.842577725,-117.74022140000001
354696,1.3.6.1.4.1.14519.5.2.1.6279.6001.300392272203629213913702120739,-82.41324218,221.2951249,-446.82995769999997
531229,1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,36.5382821782,-67.50358491739999,-179.23841783
499181,1.3.6.1.4.1.14519.5.2.1.6279.6001.743969234977916254223533321294,-50.205524861899995,-13.7361878453,-56.5937016575
198522,1.3.6.1.4.1.14519.5.2.1.6279.6001.206028343897359374907954580114,-0.788323620897,16.880805332,-53.2223406542
261995,1.3.6.1.4.1.14519.5.2.1.6279.6001.244204120220889433826451158706,117.13,-14.35,-231.02
381794,1.3.6.1.4.1.14519.5.2.1.6279.6001.314519596680450457855054746285,-50.329960977,-61.356325837,-289.991944384
46169,1.3.6.1.4.1.14519.5.2.1.6279.6001.125124219978170516876304987559,72.85,-167.46,-190.94
508060,1.3.6.1.4.1.14519.5.2.1.6279.6001.774060103415303828812229821954,-28.56,12.26,-166.78
135140,1.3.6.1.4.1.14519.5.2.1.6279.6001.174692377730646477496286081479,-57.22,16.01,-218.64
260647,1.3.6.1.4.1.14519.5.2.1.6279.6001.242761658169703141430370511586,80.4077088279,37.6672053127,-267.211306736
542657,1.3.6.1.4.1.14519.5.2.1.6279.6001.957384617596077920906744920611,90.94,-150.63,-169.53
93692,1.3.6.1.4.1.14519.5.2.1.6279.6001.149893110752986700464921264055,-71.02224601,20.43470288,-23.12861253
374145,1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,-54.06,7.71,-71.92
251065,1.3.6.1.4.1.14519.5.2.1.6279.6001.237215747217294006286437405216,-68.33,-4.6,-100.34
88732,1.3.6.1.4.1.14519.5.2.1.6279.6001.146987333806092287055399155268,124.346573213,31.095205383299998,-285.265384838
46319,1.3.6.1.4.1.14519.5.2.1.6279.6001.125124219978170516876304987559,108.64434812100001,-108.20561766700001,-288.07516800400003
2693,1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543,-16.6575583613,58.7540346456,-60.53418626770001
22342,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437,92.6889667841,31.860831743200002,-96.1716497107
263077,1.3.6.1.4.1.14519.5.2.1.6279.6001.244447966386688625240438849169,-68.42,68.74,-417.54
392660,1.3.6.1.4.1.14519.5.2.1.6279.6001.323426705628838942177546503237,-71.81,-162.86,-215.21
365026,1.3.6.1.4.1.14519.5.2.1.6279.6001.306788423710427765311352901943,-37.3805687628,-249.048866418,-124.78963799999998
550681,1.3.6.1.4.1.14519.5.2.1.6279.6001.997611074084993415992563148335,23.54,35.84,-141.28
301333,1.3.6.1.4.1.14519.5.2.1.6279.6001.267957701183569638795986183786,-87.6085002108,-54.8118335484,146.149999774
381237,1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,-103.606170996,5.07017220203,-45.044511165900005
370977,1.3.6.1.4.1.14519.5.2.1.6279.6001.309955814083231537823157605135,37.54,-229.02,-170.3
186412,1.3.6.1.4.1.14519.5.2.1.6279.6001.200837896655745926888305239398,103.569227329,-23.5856346977,-213.259827827
478909,1.3.6.1.4.1.14519.5.2.1.6279.6001.625270601160880745954773142570,-109.95,40.62,-145.83
384429,1.3.6.1.4.1.14519.5.2.1.6279.6001.315770913282450940389971401304,82.64,52.08,-141.73
66170,1.3.6.1.4.1.14519.5.2.1.6279.6001.137773550852881583165286615668,82.42,-212.03,172.8
335391,1.3.6.1.4.1.14519.5.2.1.6279.6001.290135156874098366424871975734,-41.621509307,74.97922704359999,-259.437272936
138256,1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898,29.05,-100.34,-193.72
538735,1.3.6.1.4.1.14519.5.2.1.6279.6001.943403138251347598519939390311,-83.45986820739999,12.368500216300001,-165.751315998
346533,1.3.6.1.4.1.14519.5.2.1.6279.6001.297433269262659217151107535012,-109.47,5.89,-128.87
268921,1.3.6.1.4.1.14519.5.2.1.6279.6001.246758220302211646532176593724,68.78,87.03,1655.55
239314,1.3.6.1.4.1.14519.5.2.1.6279.6001.229860476925100292554329427970,71.0078997963,86.15739979860001,-142.977500214
171448,1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234,97.927387399,32.5112373943,-101.47031260700001
79995,1.3.6.1.4.1.14519.5.2.1.6279.6001.142485715518010940961688015191,-62.41,-212.4,-110.61
539672,1.3.6.1.4.1.14519.5.2.1.6279.6001.944888107209008719031293531091,-52.18,-38.56,-103.74
222279,1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-4.45,30.46,-149.91
336342,1.3.6.1.4.1.14519.5.2.1.6279.6001.291156498203266896953765649282,16.9533230481,22.8818454148,-192.10431603599997
96572,1.3.6.1.4.1.14519.5.2.1.6279.6001.151764021165118974848436095034,164.79,205.12,-692.83
458884,1.3.6.1.4.1.14519.5.2.1.6279.6001.487745546557477250336016826588,140.337943607,47.787012155,-276.237640656
261102,1.3.6.1.4.1.14519.5.2.1.6279.6001.243094273518213382155770295147,-56.68700858,29.21854236,-213.68082090000001
145420,1.3.6.1.4.1.14519.5.2.1.6279.6001.177985905159808659201278495182,58.24,-23.1,-102.61
366410,1.3.6.1.4.1.14519.5.2.1.6279.6001.307835307280028057486413359377,55.44,66.26,-174.03
101316,1.3.6.1.4.1.14519.5.2.1.6279.6001.154703816225841204080664115280,-97.9749488649,-34.2856635271,-221.002217417
127284,1.3.6.1.4.1.14519.5.2.1.6279.6001.171667800241622018839592854574,123.17,-43.01,-224.38
277860,1.3.6.1.4.1.14519.5.2.1.6279.6001.252697338970999211181671881792,70.2067997975,21.0924597666,-143.403000224
301560,1.3.6.1.4.1.14519.5.2.1.6279.6001.267957701183569638795986183786,-93.56243383,-176.0629504,213.32241299999998
95604,1.3.6.1.4.1.14519.5.2.1.6279.6001.150684298696437181894923266019,-35.296085795100005,-135.088948667,-176.117010543
397043,1.3.6.1.4.1.14519.5.2.1.6279.6001.324567010179873305471925391582,-38.12,24.19,-121.18
129534,1.3.6.1.4.1.14519.5.2.1.6279.6001.172243743899615313644757844726,52.4218952847,31.6010480894,-232.65280921599998
464602,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-86.8,56.07,-112.26
361799,1.3.6.1.4.1.14519.5.2.1.6279.6001.305887072264491016857673607285,44.42,13.51,-119.09
290332,1.3.6.1.4.1.14519.5.2.1.6279.6001.259123825760999546551970425757,47.64919341,80.493498925,-446.3458515
278175,1.3.6.1.4.1.14519.5.2.1.6279.6001.252709517998555732486024866345,-51.8927068959,36.881851581199996,-109.17355942299999
93320,1.3.6.1.4.1.14519.5.2.1.6279.6001.149463915556499304732434215056,70.445731767,69.95158741739999,-265.725309494
115382,1.3.6.1.4.1.14519.5.2.1.6279.6001.163901773171373940247829492387,-62.43562668,40.89339483,-418.73335810000003
389686,1.3.6.1.4.1.14519.5.2.1.6279.6001.320111824803959660037459294083,-36.6456151715,49.024715444499996,-142.02974536
97214,1.3.6.1.4.1.14519.5.2.1.6279.6001.152684536713461901635595118048,-35.566264383400004,-80.75460396140001,-206.070498661
417899,1.3.6.1.4.1.14519.5.2.1.6279.6001.338447145504282422142824032832,-99.11383343959999,-55.8754945514,-222.63509269999997
76222,1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-95.7536392735,249.138289727,-822.750000215
258043,1.3.6.1.4.1.14519.5.2.1.6279.6001.241083615484551649610616348856,32.62,-131.66,-209.53
382380,1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,69.2323972853,15.0631310842,-206.30615098400003
415434,1.3.6.1.4.1.14519.5.2.1.6279.6001.337005960787660957389988207064,60.29681835,5.974952795,-202.17534550000002
209531,1.3.6.1.4.1.14519.5.2.1.6279.6001.214252223927572015414741039150,57.13,27.52,-156.26
203438,1.3.6.1.4.1.14519.5.2.1.6279.6001.210837812047373739447725050963,62.54,-133.95,-127.83
338977,1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-68.96,-6.64,-134.31
217493,1.3.6.1.4.1.14519.5.2.1.6279.6001.217955041973656886482758642958,65.5218682365,73.36289707,-138.446396606
42726,1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-53.472425222700004,-129.76312521,-91.87812520899999
66387,1.3.6.1.4.1.14519.5.2.1.6279.6001.137773550852881583165286615668,86.62,-220.45,165.09
379554,1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,-109.734094613,24.0906210248,-238.45575242599998
421010,1.3.6.1.4.1.14519.5.2.1.6279.6001.339142594937666268384335506819,76.6523243565,66.8768771541,-178.918427856
451463,1.3.6.1.4.1.14519.5.2.1.6279.6001.465032801496479029639448332481,-31.21,-20.3,-175.31
286579,1.3.6.1.4.1.14519.5.2.1.6279.6001.257383535269991165447822992959,-41.92,56.73,-131.85
202317,1.3.6.1.4.1.14519.5.2.1.6279.6001.209269973797560820442292189762,69.67,-6.97,-142.61
293617,1.3.6.1.4.1.14519.5.2.1.6279.6001.261678072503577216586082745513,64.44,-172.05,-165.84
32532,1.3.6.1.4.1.14519.5.2.1.6279.6001.119515474430718803379832249911,92.8,-197.05,-318.2
